observable_id	variable_id	J_h_raw	J_2h_raw	J_h_tight_raw	rounding_bound_h_raw	rounding_bound_2h_raw	rounding_bound_tight_raw	step_disagreement_raw	convergence_disagreement_raw
ANGLE|A|F7-C4-F9	CC_FOURIER_1	0.009909866443322812	0.0043571956008037205	0.004822429084967439	1.471111090999582e-05	7.355532480285107e-06	1.4711064700917418e-05	0.005552670842519092	0.005087437358355373
ANGLE|A|F7-C4-C3	CC_FOURIER_1	-0.013144232550388324	-0.002896781546866123	-0.008977425171181608	1.4006265901738686e-05	7.003146601405044e-06	1.4006277396881194e-05	0.010247451003522201	0.004166807379206716
ANGLE|A|F8-C4-F9	CC_FOURIER_1	-0.0011720693113659308	0.008391337078492711	0.0011291628697307488	1.4671846138852949e-05	7.335944079612517e-06	1.4671895082872417e-05	0.009563406389858642	0.0023012321810966796
ANGLE|A|F8-C4-C3	CC_FOURIER_1	0.005128578223221325	-0.003143294638086047	0.0044103097049230655	1.39670009417058e-05	6.983558106178928e-06	1.3967107589347906e-05	0.008271872861307372	0.0007182685182982596
ANGLE|A|F9-C4-C3	CC_FOURIER_1	0.0014474734921776644	-0.0040133209405368575	0.0015371929681151641	1.3978168032017344e-05	6.9891150281782255e-06	1.3978238501498262e-05	0.005460794432714522	8.971947593749974e-05
ANGLE|A|O1-S1-O2	CC_FOURIER_1	-0.00037715093931467436	-0.005948602808700798	-0.0016527187119663722	1.3664128118598645e-05	6.832052582273876e-06	1.3664137191868343e-05	0.005571451869386124	0.0012755677726516979
ANGLE|A|O1-S1-O3	CC_FOURIER_1	0.003320152637442675	-0.0006919632906488005	-0.0002753896434626313	1.3669810962187683e-05	6.834898497936965e-06	1.3669753738294372e-05	0.004012115928091475	0.003595542280905306
ANGLE|A|O1-S1-C2	CC_FOURIER_1	-0.014871797968325495	-0.011663681871674214	-0.014334511364211266	1.244556614458185e-05	6.222734315248288e-06	1.2445478873988969e-05	0.003208116096651281	0.0005372866041142288
ANGLE|A|O2-S1-O3	CC_FOURIER_1	-0.003030712128406776	-0.0018095076620028294	-0.0019303986365315495	1.3661143789978354e-05	6.83057506393125e-06	1.366117981067499e-05	0.0012212044664039468	0.0011003134918752266
ANGLE|A|O2-S1-C2	CC_FOURIER_1	-0.008002329742851089	0.011167173398654029	-0.0016486331416132316	1.2436898977763481e-05	6.218410883877364e-06	1.2436904951266508e-05	0.019169503141505118	0.006353696601237857
