observable_id	kind	block	family	geometry	source_id	unit	row_weight	observable_scale	J_2h_normalized__R_OG2P1-SG3O1	J_2h_normalized__R_CG312-SG3O1	J_2h_normalized__R_CG312-CG312	J_2h_normalized__R_CG302-CG312	J_2h_normalized__TH_OG2P1-SG3O1-OG2P1	J_2h_normalized__TH_FGA2-CG312-FGA2	J_2h_normalized__TH_CG312-CG312-SG3O1	J_2h_normalized__TH_FGA3-CG302-FGA3	J_2h_normalized__LAMBDA_CS	J_2h_normalized__LAMBDA_CC
ANGLE|B|S1-C2-F3	angle	angle	FGA2-CG312-SG3O1	B	GEO_B_REVISED	degree	0.15075567228888181	3.0	-0.005914203016958117	-0.02741232338773363	0.05866347396901956	0.0007399624009051636	-0.002917084285012674	-0.03937504884291147	-0.01719883323237212	-0.0002140076776030897	0.001567555964768699	-0.0003728218472276278
ANGLE|B|S1-C2-F4	angle	angle	FGA2-CG312-SG3O1	B	GEO_B_REVISED	degree	0.15075567228888181	3.0	-0.009373511191623511	-0.032029394010239805	0.06294049230023163	0.0002966282398608404	0.00894600923001764	-0.041781969996008146	-0.016455186854498264	-0.0022487562020091613	-0.0014133786244248635	0.00014623962883112524
ANGLE|B|S1-C2-C1	angle	angle	CG312-CG312-SG3O1	B	GEO_B_REVISED	degree	0.21320071635561041	3.0	-0.007534992341265437	-0.07369074652582379	-0.12851891369575996	-0.006340761282242326	0.030373161303392657	-0.02915969987398725	0.11305695303311401	0.0033308599665605957	0.001933887276532371	0.0024297744358534805
ANGLE|B|F1-C1-F2	angle	angle	FGA2-CG312-FGA2	B	GEO_B_REVISED	degree	0.12309149097933272	3.0	0.0005165030012200249	0.0028635488586710605	0.00890677270730296	0.003912373759689891	-0.0023707337401636477	0.1728767473785445	-0.001689110245964577	-0.0013205964395178224	-8.623767390681494e-05	-0.0030006346746685535
ANGLE|B|F1-C1-C2	angle	angle	CG312-CG312-FGA2	B	GEO_B_REVISED	degree	0.07537783614444091	3.0	-0.0028476309691899647	-0.007894325318338315	0.016295174036487947	0.003524957816523768	0.007308863958068213	-0.027424988585483288	-0.014465165190189892	-5.738495050436985e-05	0.0008438440883063488	-0.0012167400862615934
ANGLE|B|F1-C1-C3	angle	angle	CG312-CG312-FGA2	B	GEO_B_REVISED	degree	0.07537783614444091	3.0	0.0020774326078207964	0.006573937318331358	0.007083440028087183	0.003525102717218723	-0.002596402495888112	-0.025898854000463163	0.005704789320045995	-0.0011105050644782076	-0.0008192576234456765	0.0007023797777768395
ANGLE|B|F2-C1-C2	angle	angle	CG312-CG312-FGA2	B	GEO_B_REVISED	degree	0.07537783614444091	3.0	-0.00039175684931453254	-0.00032717890135060447	0.010703420640296005	0.0052225922123958594	-1.912054942184226e-05	-0.023325144044875734	-0.007366109874588414	-0.0030405737388954496	-0.0005789801786637694	-0.0008106337262863764
ANGLE|B|F2-C1-C3	angle	angle	CG312-CG312-FGA2	B	GEO_B_REVISED	degree	0.07537783614444091	3.0	0.0014368815713357924	0.0057101413605106415	0.011741299497423738	-0.007407793403641363	-0.0027424785456868377	-0.019378204428892595	0.004739926045313543	0.002148930310068878	0.0005346680599560073	0.001959266001812911
ANGLE|B|F3-C2-F4	angle	angle	FGA2-CG312-FGA2	B	GEO_B_REVISED	degree	0.12309149097933272	3.0	0.0021133782185753843	0.011999993085529471	0.007385220003488412	-0.000791718063196522	-0.002054158564074123	0.17133888252397225	-0.003793120641086914	0.0011557155797430948	0.0018415391710799214	-7.568132877610799e-05
ANGLE|B|F3-C2-C1	angle	angle	CG312-CG312-FGA2	B	GEO_B_REVISED	degree	0.07537783614444091	3.0	0.0035400082484826506	0.021818542309645556	-0.008738998748790649	0.0001642083558522296	-0.0030176852562971875	-0.02435731316005986	-0.012247773132243905	0.0001347856105388952	-0.0006716794009696278	-0.00035795144909913414
