observable_id	kind	block	family	geometry	source_id	unit	row_weight	observable_scale	J_h_normalized__R_OG2P1-SG3O1	J_h_normalized__R_CG312-SG3O1	J_h_normalized__R_CG312-CG312	J_h_normalized__R_CG302-CG312	J_h_normalized__TH_OG2P1-SG3O1-OG2P1	J_h_normalized__TH_FGA2-CG312-FGA2	J_h_normalized__TH_CG312-CG312-SG3O1	J_h_normalized__TH_FGA3-CG302-FGA3	J_h_normalized__LAMBDA_CS	J_h_normalized__LAMBDA_CC
BOND|B|C1-C3	bond	bond	CG312-CG312	B	GEO_B_REVISED	angstrom	0.20412414523193154	0.03	-0.001355758148925222	-0.006240076503681235	0.5471155761339858	-0.03367155173002061	0.0011728753913613854	0.020561379146152765	-0.0023874373083127504	0.011619076056859091	-0.0006164899943771366	-0.000509607522791725
BOND|B|C3-C4	bond	bond	CG302-CG312	B	GEO_B_REVISED	angstrom	0.2886751345948129	0.03	-0.0003811476111268133	9.595604637149754e-06	-0.05571943641144199	0.8737938854990834	0.000326394940832572	0.009994669773403091	-0.002228297195289436	0.046437360968842226	-0.0018560314132166481	0.00013429004955910952
ANGLE|B|S1-C2-F3	angle	angle	FGA2-CG312-SG3O1	B	GEO_B_REVISED	degree	0.15075567228888181	3.0	-0.005423019286114011	-0.026091346114081926	0.05823663334028424	0.0007167151264216287	-0.002677220876983271	-0.03934418005994196	-0.016671023876125703	-4.58243643682724e-05	0.0029556904307537508	-0.0010378379287325737
ANGLE|B|S1-C2-F4	angle	angle	FGA2-CG312-SG3O1	B	GEO_B_REVISED	degree	0.15075567228888181	3.0	-0.00882320244443223	-0.03460442742719032	0.06344144852099437	0.001632365294171517	0.008173124401653306	-0.04138473381816931	-0.0169962597487271	-0.002146438974641166	-0.0015747253422862136	0.000836391918200625
ANGLE|B|S1-C2-C1	angle	angle	CG312-CG312-SG3O1	B	GEO_B_REVISED	degree	0.21320071635561041	3.0	-0.008715398085464177	-0.07031453824534163	-0.1304067804726243	-0.0065160230243571475	0.03054894446240959	-0.02934149798097008	0.11254873640710174	0.0025855422645719543	0.0008390330986577369	0.002444819781977757
ANGLE|B|F1-C1-F2	angle	angle	FGA2-CG312-FGA2	B	GEO_B_REVISED	degree	0.12309149097933272	3.0	0.0002201551341056404	0.0028659572281250303	0.009454907147326863	0.0042484337141440245	-0.002373194004405599	0.17295479225179947	-0.001608344414756832	-0.001214962323688561	-0.00029948427217559855	-0.0030539610216627315
ANGLE|B|F1-C1-C2	angle	angle	CG312-CG312-FGA2	B	GEO_B_REVISED	degree	0.07537783614444091	3.0	-0.0020551617202858308	-0.008102992688501101	0.014319107839938491	0.003925584822767953	0.0069422871328762925	-0.026702382833207167	-0.015235437792080864	-0.00033376374105674927	0.0018305764563348336	-0.0009548193994918879
ANGLE|B|F1-C1-C3	angle	angle	CG312-CG312-FGA2	B	GEO_B_REVISED	degree	0.07537783614444091	3.0	0.0015263840840162874	0.007231527029024868	0.007561845968120382	0.003731043083791717	-0.002565229796607378	-0.02633221132184976	0.005798640388224007	-0.0013200528264520426	-0.0013513127091587906	0.00039881390107125085
ANGLE|B|F2-C1-C2	angle	angle	CG312-CG312-FGA2	B	GEO_B_REVISED	degree	0.07537783614444091	3.0	-0.000508585353214135	-0.0001328785733871817	0.011406905576987076	0.004030203143221272	0.0005059208181249241	-0.023906312805339072	-0.006788756437763632	-0.0031340974707606065	-0.0009477823643382859	-0.0014694446700419036
ANGLE|B|F2-C1-C3	angle	angle	CG312-CG312-FGA2	B	GEO_B_REVISED	degree	0.07537783614444091	3.0	0.0018234312071073353	0.005406327254519266	0.010969101135277512	-0.007511269566498649	-0.0030339064785480903	-0.019405334704289536	0.004663998632180536	0.0019942755911936446	0.0005633027178853583	0.0025114075166255633
